aatrox, done
ahri, done
akali, done
akshan, done
alistar, open
amumu, done
anivia, open
annie, open
aphelios, done
ashe, done
aurelion_sole, open
azir, open
bard, open
belveth, open
blitzcrank, open
brand, open
braum, open
caitlyn, open
camille, open
cassiopeia, open
chogath, open
corki, open
darius, open
diana, open
dr_mundo, open
draven, open
ekko, done
ellise , open
evelynn, open
ezreal, open
fiddlesticks, open
fiora, open
fizz, open
galio, open
gankplank, open
garen, open
gnar, open
gragas, open
graves, open
gwen, open
hecarim, open
heimerdinger, open
illaoi, open
irelia, open
ivern, open
janna, open
jarvan, open
jax, done
jayce, open
jhin, open
kaisa, open
kalista, open
karma, open
karthus, open
kassadin, open
katarina, open
kayle, open
kayn, open
kennen, open
khazix, open
kindred, open
kled, open
kogmaw, open
leblanc, open
lee_sin, open
leona, open
lillia , open
lissandra, open
lucian, open
lulu, open
lux, open
malphite, open
malzahar, open
maokai, open
master_yi, open
miss_fortune, open
mordekaiser, open
morgana, open
nami, open
nasus, open
nautilus, open
neeko, open
nidalee, open
nilah, open
nocturne, open
nunu_and_willump, open
olaf, open
orianna, open
ornn, open
pantheon, open
poppy, open
pyke, open
qiyana, open
quinn, open
rakan, open
rammus, open
reksai, open
rell, open
renata_glasc, open
renekton, open
rengar, open
riven, open
rumble, open
ryze, open
samira, open
sejuani, open
senna, open
seraphine, open
sett, open
shaco, open
shen, open
shyvana, open
singed, open
sion, open
sivir, open
skarner, open
sona, open
soraka, open
swain, open
sylas, open
syndra, open
taliyah, open
talon, open
taric, open
teemo, open
tham_kench, open
thresh, open
tristana, open
trundle, open
tryndamere, open
twisted_fate, open
twitch, open
udyr, open
urgot, open
varus, open
vayne, open
veigar, open
velkoz, open
vex, open
vi, open
viego, open
viktor, open
vladimir, open
volibear, open
warwick, open
wukong, open
xayah, open
xerath, open
xin_zaoh, open
yasuo, open
yone, open
yorick, open
yuumi, open
zac, open
zed, open
zeri, open
ziggs, open
zilean, open
zoe, open
zyra, done
